application_id,business_name,sector,region,ethnic_group,years_in_operation,owner_gender,owner_age,disability_status,num_employees,annual_revenue_ghs,monthly_momo_volume_ghs,avg_monthly_bank_balance_ghs,bank_account_tenure_months,has_momo_account,gra_tin,loan_amount_requested_ghs,loan_purpose,collateral_type,collateral_value_ghs,previous_loan_count,previous_default,credit_bureau_score,rm_recommendation,internal_risk_grade,application_date,contact_phone,days_past_due_current,loan_default
SBG-2025-00529,Wa LivestockLtd,Education,Bono,Akan,0.3,Male,44,No,3,140057.94,4268.59,,3,yes,,10940.04,Asset Purchase,Guarantor Only,0,2,No,,Refer,B,09/08/2024,0248753802,0,0
SBG-2025-02162,Abokobi PoultryGH,Healthcare,Greater Accra,Akan,4.9,Female,52,No,81,59894.26,1689.64,1256.48,30,1,P008843279,28949.83,Asset Purchase,Land,3031.08,0,No,,Refer,B,11/01/2025,0542814272,0,0
SBG-2025-00545,Teshie Ventures,Healthcare,Greater Accra,Gurma,4.8,Male,47,No,11,11105.63,1872.47,2629.67,46,TRUE,C003438452,222261.38,Asset Purchase,Stock/Inventory,227566.27,2,No,,Approve,B,01/11/2025,0273551968,0,0
SBG-2025-00189,Kumasi MetalworksLtd,ICT,Ashanti,Akan,3.8,male,29,No,2,98530.58,6317.75,867.05,92,Yes,P003298128,36661.96,Renovation,Vehicle,19013.88,2,No,,Approve,A,12/06/2024,0559194534,0,0
SBG-2025-00064,Nkrumah Circle ElectronicsCo,ICT,Upper West,Gurma,2.2,F,32,No,17,88534.73,4016.85,3740.26,13,No,P000039927,20962.6,Working Capital,None,0,3,No,600,Approve,A,12/28/2025,0266635643,0,0
SBG-2025-00179,Korle Bu Supplies,Fishing,Northern,Mole-Dagbani,13.8,female,62,No,6,272547.71,6095.45,60798.46,7,0,V006352982,23417.82,Equipment,None,0,1,No,,Approve,B,13/07/2024,0545961416,0,0
SBG-2025-02111,Madina Auto PartsGH,Transport,North East,Gurma,0.8,Male,53,No,4,8955.76,1864.85,5651.56,28,no,P002149246,24025.84,Equipment,Land,19062.39,4,Yes,439,Approve,E,15/01/2025,0596307058,54,1
SBG-2025-01433,Circle ManufacturingLtd,Healthcare,Central,Akan,3.4,male,31,No,7,11331.87,4816.18,4418.62,20,Y,C007465030,36668.12,Renovation,Guarantor Only,0,2,No,,Approve,A,06/03/2025,0598220294,0,0
SBG-2025-01469,Legon Tech Hub,Retail/Trading,Greater Accra,Akan,10.2,male,38,No,7,11684.12,769.68,27971.13,94,yes,PENDING,53722.03,Asset Purchase,Land,27377.22,3,No,,Approve,C,22/12/2024,0207705426,0,0
SBG-2025-01726,Ashaiman Steel WorksEnterprises,Manufacturing,Ashanti,Akan,0.3,Female,43,No,25,"GHS 37,586.71",1389.31,26204.83,29,No,PENDING,40888.68,Working Capital,None,0,1,Yes,519,Decline,E,23/09/2024,0208786688,39,1
SBG-2025-00496,Circle ManufacturingVentures,Retail/Trading,Eastern,Ga-Adangbe,2.2,female,31,Yes,4,19687.76,2615.95,1925.38,17,No,V006801506,22871.46,Asset Purchase,None,0,0,,,Approve,B,27/01/2024,0553085264,0,0
SBG-2025-00204,Korle Bu Supplies,Healthcare,Ashanti,Akan,11.4,Male,45,No,13,60557,11634.41,29476.99,17,Yes,,29726.56,Inventory Purchase,None,,1,Yes,,Approve,B,15/09/2024,0262993213,0,0
SBG-2025-00786,Dome-Kwabenya FarmsVentures,Healthcare,Ashanti,Akan,12,male,46,No,2,26980.86,5018.48,117087.77,3,0,V008578555,5783.98,Business Expansion,Cash Deposit,74357.55,0,,,Approve,C,01/07/2025,0206360442,0,0
SBG-2025-02714,Tarkwa HardwareCo,Mining/Quarrying,Greater Accra,Akan,2.3,Male,28,No,19,271217.6,1219.62,1697.2,41,No,,5836.72,Debt Refinancing,Vehicle,,2,No,645,Approve,A,06/22/2025,0591163980,0,0
SBG-2025-00451,Cape Coast HospitalityLtd,Mining/Quarrying,Western North,Akan,7.5,Male,43,No,9,17608.48,2979.25,6003.54,16,Y,V003526869,14934.52,Asset Purchase,Equipment,,1,No,,Approve,C,03/22/2025,0558192136,0,0
SBG-2025-02717,Ashaiman Steel WorksEnterprises,Agriculture,Upper East,Mole-Dagbani,5.2,female,42,No,23,38295.05,6659.78,9706.58,12,1,V002829191,17617.81,Inventory Purchase,Equipment,17772.98,3,No,,Approve,D,18/10/2025,0556602555,146,1
SBG-2025-00333,Ridge ConsultingCo,Education,Greater Accra,Ewe,0.1,male,38,No,2,"GHS 4,765.14",31017.75,33110.88,38,Yes,C003935780,23987.89,Asset Purchase,Equipment,8905.98,1,No,,Approve,A,11/01/2025,0544658719,0,0
SBG-2025-00300,Lapaz CateringLtd,Hospitality,Ashanti,Akan,0.4,F,51,No,18,11072.32,9731.64,7733.06,86,1,C006089441,4806.84,Inventory Purchase,Land,21787.16,2,No,580,Approve,B,01/22/2025,0544183344,0,0
SBG-2025-01150,Weija Block FactoryLtd,Fishing,Volta,Ewe,10.1,Male,38,No,5,727750.52,743.04,6414.83,12,yes,,48343.95,Business Expansion,Stock/Inventory,,1,No,,Decline,A,05/07/2025,0592309545,0,0
SBG-2025-02974,Volta FarmsEnterprises,Retail/Trading,Greater Accra,Ga-Adangbe,6.6,Male,44,No,38,663678.27,2189.04,82385.34,86,1,,49704.03,Asset Purchase,None,0,4,No,,Approve,A,11/01/2024,0263641633,0,0
SBG-2025-01399,Kofi MotorsVentures,Fishing,Western,Akan,4.8,female,56,No,4,21523.22,,35753.34,0,Yes,C006197748,25851.78,Vehicle Purchase,Guarantor Only,0,1,No,,Approve,A,17/05/2025,0598037097,0,0
SBG-2025-00045,Kumasi MetalworksGH,Services,Northern,Mole-Dagbani,1.5,F,41,No,1,$1136.69,1095.31,12634.68,45,1,,14285.83,Business Expansion,Stock/Inventory,233921.18,2,No,599,Approve,C,12/10/2024,0201169183,0,0
SBG-2025-00677,Dansoman TradingVentures,Construction,Western,Akan,0.6,Male,43,Yes,21,31108.23,770.39,9332.56,22,no,V000199296,37044.79,Working Capital,Property,,1,Yes,,Approve,B,09/06/2024,0204370293,0,0
SBG-2025-00694,Ashongman EstatesGH,Healthcare,Greater Accra,Mole-Dagbani,1.4,female,44,Yes,5,3871.95,7878.04,2275.42,10,1,P001943922,3328.58,Renovation,Stock/Inventory,5594.62,4,No,630,Refer,E,11/27/2024,0559053854,177,1
SBG-2025-00299,Aflao Border TradeEnterprises,ICT,Bono,Ga-Adangbe,4.9,male,42,No,31,86713,3825.73,304837.35,81,Yes,,74393.95,Equipment,Guarantor Only,0,3,No,378,Approve,B,09/21/2024,0275816916,0,0
SBG-2025-00212,Weija Block FactoryEnterprises,Agriculture,Volta,Ewe,5.9,Male,42,No,7,173580.93,756.32,719.93,28,yes,C004737444,30107.07,Inventory Purchase,None,0,2,No,,Refer,A,18/10/2024,0276544681,0,0
SBG-2025-01058,Grace Foods Ltd,Hospitality,Ashanti,Gurma,2.6,F,43,No,10,31575.7,1097.25,8340.58,8,Y,,35148.29,Vehicle Purchase,Equipment,,2,No,,Approve,B,15/05/2024,0559783693,0,0
SBG-2025-01321,Takoradi MarineCo,Construction,Ashanti,Akan,1.4,Male,52,No,9,,2601.84,3931.65,6,Yes,,136792.5,Equipment,Equipment,810113.37,0,,,Approve,B,18/05/2024,0244229139,0,0
SBG-2025-01473,Takoradi MarineGH,Agriculture,Northern,Mole-Dagbani,10.5,Female,41,No,3,17858.51,3760.86,32906.02,31,yes,,27095.45,Asset Purchase,Guarantor Only,0,2,No,,Approve,B,20/12/2025,0268517843,0,0
SBG-2025-00555,Axim FisheriesGH,Manufacturing,Volta,Ewe,10.5,Female,26,No,3,31705.63,2227.87,900.49,31,Yes,P006069369,17559.59,Equipment,None,0,1,No,495,Approve,B,15/02/2024,0557580289,0,0
SBG-2025-02779,Axim FisheriesVentures,Mining/Quarrying,Bono,Akan,2.9,Male,43,Yes,6,20912.99,4207.67,6477.11,73,TRUE,V002812661,16257.54,Equipment,Land,30791.36,2,Yes,,Refer,A,04/11/2024,0551420990,0,0
SBG-2025-02314,Kaneshie ProvisionsCo,Healthcare,Central,Gurma,6.1,F,37,No,14,4570.42,214.35,38494.07,45,Yes,P001423141,18353.79,Business Expansion,Cash Deposit,61644.1,0,,,Approve,C,22/07/2024,0599535672,0,0
SBG-2025-00536,Kofi MotorsLtd,Transport,Ashanti,Gurma,14.5,F,37,Yes,39,113942.81,7430.95,,139,Yes,P004943827,5714.88,Equipment,Guarantor Only,,1,No,,Approve,B,18/08/2025,0264574677,0,0
SBG-2025-01808,Makola Market SuppliesVentures,Retail/Trading,Savannah,Gurma,1,F,37,No,3,"GHS 23,529.08",28651.07,23599.79,46,Y,,47371.71,Business Expansion,None,0,1,No,456,Approve,B,12/10/2024,0249717309,0,0
SBG-2025-02475,Haatso PropertiesLtd,Healthcare,Greater Accra,Ga-Adangbe,3.8,Male,41,Yes,19,11238.83,34954.81,78127.51,5,No,P005772235,37258.67,Asset Purchase,None,0,2,No,519,Approve,B,03/11/2025,0272946493,0,0
SBG-2025-02515,Oyibi Logistics,ICT,Western,Akan,4.9,male,41,No,4,55541.13,6694.88,3236.12,147,no,,19263.19,Vehicle Purchase,Guarantor Only,0,0,,588,Approve,B,06/23/2025,0558570236,0,0
SBG-2025-00323,Oyibi LogisticsCo,Construction,Greater Accra,Akan,5.4,Male,44,No,3,$3607.53,607.78,17039.25,2,yes,P003763964,10431.4,Debt Refinancing,Land,4351.62,5,No,,Approve,B,24/11/2025,0245183769,0,0
SBG-2025-02813,Osei & Sons,Agriculture,Volta,Ewe,5.5,male,41,No,16,$216.61,3401.74,10927.85,30,Yes,P005912780,48405.81,Debt Refinancing,Stock/Inventory,,0,,,Approve,A,03/16/2025,0542921387,0,0
SBG-2025-00865,East Legon PropertiesGH,Healthcare,Western North,Guan,2.6,Male,49,No,3,23719.94,12898.4,,20,Yes,,13257.68,Vehicle Purchase,Cash Deposit,,2,No,,Approve,A,15/03/2025,0277638226,0,0
SBG-2025-01236,Takoradi Marine,Retail/Trading,Central,Akan,2.3,Female,29,No,8,$376.32,3203.36,41120.5,19,Y,P006404681,45214.96,Debt Refinancing,Stock/Inventory,146406.14,2,No,,Approve,B,09/03/2024,0541322332,0,0
SBG-2025-01657,Ho ElectricalGH,Healthcare,Bono East,Akan,4,F,14,No,36,268667.75,1120.23,3920.48,21,Yes,C000967786,2933.55,Asset Purchase,Land,180568.63,0,,,Approve,A,05/16/2024,0551208795,0,0
SBG-2025-01973,Haatso PropertiesLtd,Agriculture,Central,Ewe,1.6,male,54,No,4,283653.3,15449.29,8577.91,110,N,,59860.95,Inventory Purchase,Land,163371.44,2,No,,Approve,A,08/21/2025,0260763802,0,0
SBG-2025-02561,Dome-Kwabenya Farms,Mining/Quarrying,Bono East,Akan,7.9,Male,36,No,10,53536.07,1062.81,1483.88,36,1,V009608494,4636.17,Debt Refinancing,Property,13492.49,3,No,,Approve,B,06/15/2024,0273771270,0,0
SBG-2025-02271,Agbogbloshie RecyclingCo,Healthcare,Greater Accra,Akan,0.6,Male,37,No,3,31834.46,16744.66,3204.8,56,Yes,V002703226,9888.81,Vehicle Purchase,Guarantor Only,0,3,No,495,Refer,C,25/04/2024,0594027159,0,0
SBG-2025-02501,Madina DigitalVentures,Agriculture,Greater Accra,Guan,8.8,male,15,No,54,"GHS 16,372.44",998.71,,24,0,P001719650,11597.57,Asset Purchase,Guarantor Only,,0,,,Approve,B,11/14/2024,0264703222,0,0
SBG-2025-02549,Aflao Border TradeLtd,Fishing,Greater Accra,Mole-Dagbani,2.6,Female,48,No,1,21687.32,3053.47,15161.47,26,0,V006667439,28689.93,Inventory Purchase,None,0,1,No,408,Approve,A,10/23/2024,0542842693,0,0
SBG-2025-01645,Ho Electrical,Healthcare,Bono East,Akan,0.5,M,21,No,3,359087.63,13150.91,5234.37,80,No,C006354200,26584.92,Debt Refinancing,Land,90909.07,2,Yes,,Decline,A,04/17/2024,0205113679,0,0
SBG-2025-02602,Tamale Agri ServicesVentures,Manufacturing,Ahafo,Akan,0.3,M,54,No,19,279045.79,,6481.3,6,Y,,16975.25,Debt Refinancing,Cash Deposit,,1,Yes,536,Refer,A,10/13/2024,0550508007,0,0
SBG-2025-01996,Legon Tech HubCo,Hospitality,Central,Akan,5.3,F,42,No,2,21804.65,4605.2,25289.24,11,Y,C009694666,7899.31,Business Expansion,Stock/Inventory,,2,Yes,,Approve,B,02/26/2025,0206960227,0,0
SBG-2025-01994,Wa LivestockLtd,Construction,Ashanti,Ga-Adangbe,0.7,female,52,No,2,14013.93,2415.28,34487.78,25,Yes,PENDING,35721.02,Working Capital,Land,47590.58,1,No,,Approve,B,20/12/2024,0272668634,0,0
SBG-2025-02741,Madina Auto PartsLtd,Transport,Oti,Ewe,2.3,female,23,No,2,"GHS 125,054.62",2925.36,413.15,44,No,C001035318,67563.19,Vehicle Purchase,Land,37900.61,3,Yes,,Approve,A,11/12/2025,0549348271,0,0
SBG-2025-02739,Kwaku TradingEnterprises,Construction,Ashanti,Akan,16.5,Male,42,No,11,720.28,1337.38,44041.65,47,No,P008155813,25423.35,Business Expansion,Vehicle,10643.09,1,No,,Approve,B,24/09/2025,0552262942,0,0
SBG-2025-01966,Kaneshie MotorsEnterprises,Mining/Quarrying,Greater Accra,Akan,4.4,M,52,No,34,"GHS 236,358.37",4220.64,53758.04,7,Y,V006352154,12121.48,Equipment,Vehicle,22653.26,1,No,,Approve,B,01/11/2025,0205207433,0,0
SBG-2025-00053,Kumasi MetalworksVentures,Healthcare,Upper West,Mole-Dagbani,14,F,36,No,12,152967,1384.67,,2,Yes,PENDING,61185.08,Working Capital,Property,,1,No,,Approve,B,06/05/2025,0267580394,0,0
SBG-2025-00145,Dzorwulu DigitalVentures,ICT,Western,Akan,1.7,Male,29,No,11,"GHS 13,612.12",13562.89,28533.6,35,Yes,P002803134,16403.27,Vehicle Purchase,Property,26620.15,0,,601,Approve,A,08/03/2025,0554741201,0,0
SBG-2025-01382,Bolgatanga CraftsEnterprises,Healthcare,Ashanti,Ewe,2.5,M,33,No,3,339378.91,5911.78,997.9,40,0,V005144295,6187.88,Equipment,None,0,2,No,489,Approve,C,11/02/2025,0590362866,0,0
SBG-2025-00945,Nkrumah Circle ElectronicsEnterprises,Transport,Ashanti,Ewe,1.2,M,29,No,2,1120840.65,9639.3,325.07,50,yes,C006495351,46838.74,Debt Refinancing,Vehicle,17037.45,1,No,,Approve,C,19/08/2024,0278086700,0,0
SBG-2025-00766,Kwaku TradingEnterprises,Manufacturing,Ashanti,Akan,4.2,M,44,No,2,234782.92,7067.01,3160.13,85,N,P008306357,23012.77,Vehicle Purchase,Vehicle,57250.43,4,Yes,489,Approve,D,09/02/2024,0201934554,60,1
SBG-2025-00252,Madina DigitalGH,ICT,Western North,Guan,2.4,Female,48,No,6,19087.71,5343.01,137556.29,15,Yes,,13785.04,Equipment,Property,112062.48,1,No,,Refer,A,28/06/2024,0549801270,0,0
SBG-2025-01499,Mensah EnterpriseEnterprises,Services,Greater Accra,Ga-Adangbe,2.4,Female,40,No,92,17287.33,451.31,42155.62,16,No,P000383765,68861.78,Working Capital,None,0,1,No,,Approve,B,11/11/2025,0276599999,0,0
SBG-2025-00528,Madina Auto PartsCo,Transport,Ashanti,Gurma,1.6,Male,35,No,10,9541.41,2066.54,9294.89,52,1,,8976.91,Debt Refinancing,Guarantor Only,,0,,662,Decline,C,24/08/2024,0203290828,151,1
SBG-2025-00953,Aflao Border TradeVentures,Manufacturing,Greater Accra,Akan,1,male,44,No,19,133455.16,14103.5,17726.87,12,Yes,,23603.96,Working Capital,Cash Deposit,110588.15,1,No,,Approve,D,07/07/2025,0559318589,134,1
SBG-2025-01613,Oyibi LogisticsVentures,Retail/Trading,Greater Accra,Guan,3.8,Male,42,No,12,168172.24,967.25,765.08,26,No,P003750015,14374.88,Inventory Purchase,Equipment,6308.85,1,No,,Approve,A,25/08/2024,0544776655,0,0
SBG-2025-02631,Kaneshie Motors,Mining/Quarrying,Bono,Akan,5,Female,30,No,2,1783.41,14444.34,8806.28,7,1,,38401.68,Debt Refinancing,Cash Deposit,22303.72,2,No,,Approve,A,15/09/2024,0267106014,0,0
SBG-2025-01129,Takoradi MarineVentures,Retail/Trading,Greater Accra,Gurma,2.3,M,53,No,5,71750.65,,90582.39,6,1,V005777183,48840.25,Working Capital,Cash Deposit,11800.29,1,No,,Approve,B,12/02/2025,0202347457,0,0
SBG-2025-01926,Kofi MotorsLtd,Services,Bono,Mole-Dagbani,0.5,Female,40,No,3,$9399.03,524.97,4404.86,66,yes,C002836353,6301.09,Debt Refinancing,Equipment,14313.44,1,No,,Approve,C,11/05/2024,0553431856,0,0
SBG-2025-00001,Teshie VenturesLtd,Retail/Trading,Ashanti,Akan,2.3,Female,52,No,13,6242.66,596.15,48723.31,31,yes,C004375005,18610,Renovation,Equipment,22908.14,1,No,725,Approve,A,09/04/2025,0546363045,0,0
SBG-2025-02105,Mensah EnterpriseVentures,Construction,Greater Accra,Ewe,7.9,M,54,No,2,13584.59,1075.67,6108.12,98,Yes,,25521.59,Equipment,None,0,3,No,,Approve,C,17/10/2025,0267024441,0,0
SBG-2025-00898,Nana Ama TextilesLtd,Construction,Northern,Gurma,11.3,female,34,No,14,13539.46,1345.19,1110.66,27,yes,C009781300,117787.25,Business Expansion,Equipment,72378.71,1,No,,Decline,A,21/12/2024,0270722498,0,0
SBG-2025-01468,Dansoman TradingCo,Transport,Western North,Akan,2.6,Female,40,No,1,60036.34,5750.53,671.76,70,1,V008352204,4685.18,Renovation,Vehicle,49621.44,3,No,,Approve,B,12/03/2025,0267569683,0,0
SBG-2025-00651,Techiman Market StoreVentures,Retail/Trading,Upper East,Ewe,0.5,Male,22,No,2,188735.76,12207.15,6534.59,52,1,,20249.2,Renovation,Land,244389.43,2,No,,Approve,B,10/16/2025,0201458243,0,0
SBG-2025-01489,Weija Block Factory,Transport,Greater Accra,Guan,2.5,Male,32,No,4,13383.38,4786.59,24511.62,16,Y,,6782.92,Renovation,Stock/Inventory,40191.35,0,No,,Approve,A,16/02/2025,0268153125,0,0
SBG-2025-01993,Ama Beauty SuppliesCo,Transport,Ahafo,Akan,4.7,Female,61,No,17,22540.5,1521.69,4148.09,7,yes,,19947.91,Asset Purchase,Property,11625.36,1,No,,Approve,A,01/24/2025,0275931064,0,0
SBG-2025-00980,Kwaku TradingVentures,ICT,Eastern,Akan,4.5,Male,50,No,8,148767.99,,26244.25,19,1,V003381114,16173.6,Renovation,Guarantor Only,0,1,No,,Approve,C,03/11/2025,0202684750,0,0
SBG-2025-00431,Osei & Sons,ICT,Volta,Gurma,0.8,Male,50,No,2,19890.42,,39499.59,39,Yes,PENDING,28615.6,Equipment,Cash Deposit,165385.92,1,No,488,Approve,D,11/12/2025,0247573246,43,1
SBG-2025-00150,Aflao Border TradeGH,Fishing,Volta,Ewe,1.6,Female,45,No,36,295450.34,1770.75,22340.48,65,1,,15651.7,Working Capital,Guarantor Only,0,2,Yes,,Approve,A,07/10/2024,0266934064,0,0
SBG-2025-01989,Dansoman TradingGH,ICT,Northern,Mole-Dagbani,2.9,male,21,No,7,27131.42,1167.98,,222,TRUE,P003554500,59032.99,Vehicle Purchase,Cash Deposit,48636.47,1,Yes,,Approve,A,25/08/2024,0249765267,0,0
SBG-2025-02287,Nana Ama TextilesLtd,Services,Greater Accra,Mole-Dagbani,17.8,Female,47,No,2,18220.42,1564.63,158721.91,56,Yes,V004582056,7597.86,Vehicle Purchase,Stock/Inventory,52212.88,2,No,551,Approve,A,18/12/2024,0247041065,0,0
SBG-2025-02485,Weija Block FactoryVentures,Education,Central,Akan,3.1,Female,22,No,9,"GHS 706,467.46",699.71,20766.53,6,No,PENDING,67276.37,Debt Refinancing,Cash Deposit,10352.05,1,No,,Approve,B,17/07/2025,0249188320,0,0
SBG-2025-00928,Korle Bu Supplies,ICT,Ashanti,Akan,3.9,Female,43,No,6,108711.87,4112.56,,61,no,V001815960,63648.55,Business Expansion,Cash Deposit,14576.73,1,Yes,546,Refer,D,09/27/2025,0243103766,66,1
SBG-2025-02668,Pantang AgribusinessGH,Fishing,Bono East,Mole-Dagbani,5.3,female,62,No,3,19513.39,5120.08,16861.37,12,TRUE,V006953196,10907.68,Working Capital,Guarantor Only,0,2,No,,Approve,A,26/01/2024,0545510584,0,0
SBG-2025-00015,Labadi Imports,Retail/Trading,Volta,Grusi,1,Male,35,No,6,223311.14,,1206.06,91,yes,C002444756,10885.08,Inventory Purchase,Vehicle,86051.1,2,No,479,Approve,A,28/04/2024,0202809627,0,0
SBG-2025-00094,Kumasi MetalworksVentures,Healthcare,Greater Accra,Ga-Adangbe,4.1,Female,48,No,4,"GHS 8,372.24",4978.34,49984.88,33,Yes,,17202.58,Working Capital,Property,39582.14,1,No,,Approve,B,07/01/2024,0540768011,0,0
SBG-2025-00839,Madina DigitalEnterprises,Transport,Volta,Akan,4.3,female,50,No,7,52375.54,537.17,12026.87,38,Y,C007272544,102401.42,Renovation,Vehicle,15309.42,1,No,539,Approve,B,04/10/2025,0266983432,0,0
SBG-2025-01002,East Legon PropertiesEnterprises,Education,Central,Akan,3.9,F,38,No,2,122996.31,,2135.83,15,yes,V004856979,48268.59,Working Capital,Guarantor Only,0,1,No,,Approve,A,06/16/2024,0274884752,0,0
SBG-2025-02582,Obuasi Mining SuppliesLtd,ICT,Greater Accra,Mole-Dagbani,11,female,20,No,28,961424.88,347.66,23043.45,24,Yes,P001200186,80177.45,Business Expansion,Guarantor Only,0,3,No,352,Refer,A,27/10/2024,0206117620,0,0
SBG-2025-02504,Aflao Border TradeLtd,Fishing,Ahafo,Akan,15.6,F,43,Yes,12,33532.07,1323.97,2079.55,19,Yes,V008918958,9677.83,Asset Purchase,None,0,1,No,,Approve,A,07/17/2024,0556007120,0,0
SBG-2025-02264,Cape Coast HospitalityGH,ICT,Northern,Gurma,2.9,Male,36,No,4,21585.38,1255.97,10298.49,4,1,,23591.73,Equipment,Equipment,36205.56,0,,,Approve,B,24/07/2024,0548974040,0,0
SBG-2025-00773,Abokobi PoultryGH,ICT,Central,Akan,0.7,M,46,No,3,166450.18,,19708.03,34,yes,V006716397,56559.06,Renovation,Stock/Inventory,40305.04,1,No,,Approve,A,06/08/2024,0200417977,0,0
SBG-2025-01045,Axim FisheriesLtd,Fishing,Central,Akan,10.9,F,61,No,2,77262.33,1293.4,8321.76,21,no,P007371915,56121.19,Vehicle Purchase,Cash Deposit,13596.64,0,,,Approve,A,21/06/2024,0554481965,0,0
SBG-2025-01101,Haatso PropertiesCo,Construction,Greater Accra,Akan,0.3,male,37,No,5,46151.44,2357.34,,43,N,V004295818,28890.64,Vehicle Purchase,Cash Deposit,,0,,,Approve,A,12/08/2025,0544200025,0,0
SBG-2025-00434,Madina DigitalLtd,Mining/Quarrying,Bono,Akan,0.5,M,31,No,60,10435.88,1755.64,17330.39,44,Yes,V002702334,60150.07,Vehicle Purchase,Vehicle,4812.3,1,No,706,Approve,A,09/05/2025,0553539276,0,0
SBG-2025-01033,Osei & Sons,Transport,Northern,Grusi,1.3,male,44,No,4,$603.87,1313.54,549.13,15,Yes,P001095407,108249.92,Business Expansion,None,0,2,No,,Approve,B,12/16/2024,0261774141,0,0
SBG-2025-01591,Axim FisheriesLtd,Agriculture,Central,Grusi,5.9,female,45,No,4,25561.15,3334.74,4260.31,160,yes,C004528349,133800.43,Asset Purchase,Stock/Inventory,1133168.42,0,,530,Approve,B,18/01/2024,0545443368,0,0
SBG-2025-01748,Dansoman TradingCo,Fishing,Ahafo,Ga-Adangbe,1.5,Male,36,No,6,94620.37,1319.4,332832.19,17,0,,18623.22,Debt Refinancing,Stock/Inventory,44035.27,1,Yes,,Refer,D,23/02/2024,0594053405,164,1
SBG-2025-00193,asdfgh,Healthcare,Savannah,Ga-Adangbe,11.5,Male,39,No,25,"GHS 21,466.02",,,31,Y,C001863093,13031.15,Business Expansion,Land,117014.47,3,No,631,Approve,C,23/10/2024,0554527672,0,0
SBG-2025-01942,Accra Fresh FishGH,Education,Northern,Mole-Dagbani,2,Male,37,No,3,7420.67,,1738.79,88,Yes,C006236232,9877.97,Working Capital,None,0,1,No,,Approve,B,06/23/2024,0205287602,0,0
SBG-2025-00052,Circle ManufacturingCo,ICT,Greater Accra,Akan,7.5,Female,43,No,4,343686.89,1261.84,1158.21,16,Yes,,13095.95,Business Expansion,None,0,2,No,,Approve,B,12/17/2024,0556162122,0,0
